station,fc,band,b,b_lo,b_hi,r,n,HI
CC.CARB,4.0,2-8,-0.3104092134703924,-0.3250990328241888,-0.29625016189071235,-0.3751274054947831,8883,0.007717572659578265
CC.CARB,8.660254037844387,5-15,-0.23817868201841444,-0.2507761058498222,-0.22597580101174444,-0.3532064476010418,8830,0.020102687359098734
CC.GTWY,4.0,2-8,1.4354140054801954,1.4143587291884634,1.4555651765907787,0.8883429379259297,8916,0.03266878061133045
CC.GTWY,8.660254037844387,5-15,1.417661759797005,1.3903795316526604,1.4433951580665334,0.7625758898267133,8916,0.044684555038952876
CC.PR01,1.0,0.5-2,-0.40343875614273106,-0.4168079613881585,-0.3902339468596995,-0.46736309287630945,8916,-0.009566376455597521
CC.PR01,8.660254037844387,5-15,0.7921332958166214,0.7714273730868078,0.8145430156566162,0.6932145854794372,8340,-0.0321269043460818
CC.PR02,1.0,0.5-2,0.11613558800425351,0.09381739201792745,0.13585480540268963,0.1182277506285816,5548,-0.0510095372279485
CC.PR02,8.660254037844387,5-15,1.7975865541257263,1.783419442894987,1.8105183123247353,0.9625025306514859,5574,-0.06296180710093784
CC.PR03,4.0,2-8,1.5931191594786172,1.5823475913175113,1.6026764826718787,0.9758640784486967,8824,-0.05483603936852153
CC.PR03,8.660254037844387,5-15,1.7098813473350105,1.6989115159394248,1.719678700433615,0.9769417348368328,8824,-0.053322324498348145
CC.SIFT,1.0,0.5-2,-0.09760281555273076,-0.13075063579357757,-0.06761315654617192,-0.05927368049988286,8916,-0.016599103473085013
CC.SIFT,8.660254037844387,5-15,0.767944871543132,0.7143623187980065,0.8138266950962362,0.3213228865424025,8916,0.023165278941312088
CC.STYX,1.0,0.5-2,0.6467131875593657,0.6276782307751636,0.6665363267554655,0.6287362652551504,4300,-0.017493129947762965
CC.STYX,4.0,2-8,1.322221286602886,1.311562960878974,1.3334862330578605,0.9431865536593453,8738,-0.05101554688647177
CC.STYX,8.660254037844387,5-15,1.5068401467543078,1.4939174465518636,1.5210165939586235,0.8951409965197824,8738,-0.049445289396706615
CC.TRON,1.0,0.5-2,-0.9365894167928432,-0.9676716322318952,-0.9076629761941877,-0.5519467297380923,4284,-0.031852337491305525
CC.TRON,4.0,2-8,0.07211321189552791,0.04426964668950687,0.09516597086121517,0.0626074604060462,8798,-0.005114291676363249
CC.TRON,8.660254037844387,5-15,0.5638591556013025,0.5407648664373464,0.5848344928017896,0.5222109958079613,8793,0.0021255369589609045
UW.LON,4.0,2-8,1.7111701326064828,1.6810740392830619,1.7409980118638175,0.8776427697567978,5472,-0.0018328713167889677
UW.LON,8.660254037844387,5-15,1.9821293858024929,1.9459931637005783,2.0196657158050457,0.8523733187823934,5472,-0.007815804373219841
UW.RER,2.23606797749979,1-5,0.02719347687103486,0.006601615603016239,0.04893363416455654,0.027983224494874306,4297,-0.012464659125949294
UW.RER,17.320508075688775,10-30,0.8447819519076089,0.806077628232619,0.8822155515942148,0.4583473275673558,4297,-0.08643466293547106
UW.STOR,17.320508075688775,10-30,0.14205034079507117,0.1195862122975616,0.163950214677008,0.20776609227951048,3314,0.038376917355379694
UW.STOR,4.0,2-8,0.13926940315674644,0.11450782447300585,0.16566488934791726,0.179158846465058,3314,0.03868549091119544
UW.UPS,17.320508075688775,10-30,0.006195777470329643,-0.020700847401674768,0.03257786877738028,0.00677238478669691,4136,0.01569987604286648
UW.UPS,4.0,2-8,0.006110412130508889,-0.02083159574603264,0.03245548990201331,0.006660979282907148,4136,0.020523889357445087
